127,1536,和大,"6,789,117","4,590","819,075,412",122.50,123.00,119.00,120.50,+,2.0,120.50,40,121.00,137,122.96,20210107
128,1537,廣隆,"54,995",46,"7,727,506",141.00,141.00,140.00,141.00,+,0.5,140.50,8,141.00,52,13.00,20210107
129,1538,正峰,"58,592",41,"509,060",8.82,8.82,8.57,8.57,-,0.43,8.57,6,9.15,5,0.00,20210107
130,1539,巨庭,"191,003",97,"3,560,256",19.05,19.05,18.35,18.55,-,0.4,18.55,2,18.60,14,0.00,20210107
131,1540,喬福,"160,881",80,"2,508,715",15.55,15.70,15.50,15.55,+,0.15,15.55,34,15.65,2,0.00,20210107
132,1541,錩泰,"45,000",34,"2,389,600",53.30,53.40,53.00,53.00,-,0.2,53.00,8,53.10,12,10.91,20210107
133,1558,伸興,"69,777",72,"9,863,991",141.50,142.00,141.00,142.00,+,0.5,141.50,3,142.00,12,11.72,20210107
134,1560,中砂,"712,804",498,"46,794,001",65.50,66.10,65.30,65.40, ,0.0,65.40,4,65.60,2,16.60,20210107
135,1568,倉佑,"4,253,710","1,768","98,858,430",21.65,23.70,21.60,23.70,+,2.15,23.70,16,--,0,338.57,20210107
136,1582,信錦,"470,769",359,"40,618,146",86.40,86.80,86.00,86.60,+,0.3,86.50,11,86.60,3,10.77,20210107
137,1583,程泰,"1,705",2,"105,839",62.20,62.20,62.20,62.20,+,0.3,61.90,2,62.00,1,15.59,20210107
138,1587,吉茂,"159,734",107,"3,989,519",24.85,25.10,24.85,24.95, ,0.0,24.95,1,25.00,17,11.82,20210107
139,1589,永冠-KY,"1,147,422",756,"95,562,733",82.50,83.80,82.10,83.30,+,1.5,83.30,6,83.50,9,19.28,20210107
140,1590,亞德客-KY,"1,351,835","1,253","1,367,352,407",985.00,"1,035.00",981.00,"1,035.00",+,90.0,"1,035.00",123,--,0,47.81,20210107
141,1592,英瑞-KY,"234,181",114,"2,072,946",9.10,9.10,8.70,8.87,+,0.03,8.81,23,8.87,1,0.00,20210107
142,1597,直得,"713,575",597,"62,285,322",86.60,88.70,86.50,86.60,+,0.4,86.60,9,86.80,6,37.01,20210107
143,1598,岱宇,"5,856,054","3,473","719,200,788",118.00,125.50,118.00,124.50,+,7.5,124.00,44,124.50,60,22.35,20210107
144,1603,華電,"83,082",68,"2,353,554",27.90,28.60,27.90,28.50,+,0.6,28.40,1,28.50,4,11.45,20210107
145,1604,聲寶,"455,588",328,"11,707,925",25.65,25.80,25.50,25.80,+,0.15,25.75,8,25.80,62,5.60,20210107
146,1605,華新,"14,254,593","3,815","268,609,764",18.75,19.00,18.65,18.95,+,0.4,18.90,84,18.95,135,10.65,20210107
147,1608,華榮,"3,793,901","1,602","52,972,209",13.80,14.30,13.75,13.80,+,0.2,13.80,52,13.85,15,14.53,20210107
148,1609,大亞,"21,711,513","7,305","423,163,786",19.00,19.80,18.95,19.45,+,0.75,19.45,12,19.50,72,14.20,20210107
149,1611,中電,"5,878,876","2,032","85,848,363",14.45,15.10,14.20,14.50,-,0.1,14.50,52,14.55,2,5.80,20210107
150,1612,宏泰,"1,869,640",756,"32,452,441",17.15,17.55,17.10,17.45,+,0.5,17.40,59,17.45,59,13.96,20210107
151,1614,三洋電,"396,361",205,"14,490,216",36.45,36.85,36.10,36.60,+,0.65,36.60,2,36.65,11,25.07,20210107
152,1615,大山,"62,644",57,"1,536,757",24.90,24.90,24.40,24.40,-,0.1,24.40,24,24.50,4,9.68,20210107
153,1616,億泰,"617,846",244,"3,997,749",6.48,6.51,6.43,6.49,+,0.01,6.46,13,6.49,13,0.00,20210107
154,1617,榮星,"41,000",25,"590,250",14.45,14.50,14.30,14.50,-,0.1,14.35,6,14.50,1,14.95,20210107
155,1618,合機,"1,368,342",573,"17,585,370",12.70,13.10,12.65,12.85,+,0.25,12.85,11,12.90,69,12.85,20210107
